,Estado,Ano,Emissões_CO2e
116,Pará,1994,218596.7401223473
117,Amapá,1994,-3349.314585776775
118,Tocantins,1994,40945.058567385684
119,Maranhão,1994,88099.84790289769
120,Piauí,1994,9577.281326843142
121,Ceará,1994,4655.429991626952
122,Rio Grande do Norte,1994,1329.4816728082103
123,Paraíba,1994,1598.3845480723498
124,Pernambuco,1994,2742.3318342658354
125,Alagoas,1994,567.6304113058738
126,Sergipe,1994,514.4376871228367
127,Bahia,1994,16059.77541834844
128,Minas Gerais,1994,20661.725257591122
129,Espírito Santo,1994,-527.189659114994
130,Rio de Janeiro,1994,2733.963815088744
131,São Paulo,1994,1843.0528573650902
132,Paraná,1994,-2188.4503035836055
133,Santa Catarina,1994,323.4901073416247
134,Rio Grande do Sul,1994,6787.690193960757
135,Mato Grosso do Sul,1994,22531.582053548158
136,Mato Grosso,1994,235777.19934347537
137,Goiás,1994,34693.16662930361
138,Distrito Federal,1994,162.97492701967334
140,Rondônia,1995,292540.8345430496
141,Acre,1995,86888.76168494325
142,Amazonas,1995,74086.79829373908
143,Roraima,1995,5776.767452889537
144,Pará,1995,573722.9234800815
145,Amapá,1995,-725.5698018513916
146,Tocantins,1995,76449.69503566332
147,Maranhão,1995,176548.3979607945
148,Piauí,1995,13006.695148781822
149,Ceará,1995,6263.372784900302
150,Rio Grande do Norte,1995,1944.272596567213
151,Paraíba,1995,2272.3110898446753
152,Pernambuco,1995,4453.549019098703
153,Alagoas,1995,1135.0709516677
154,Sergipe,1995,872.8445261688902
155,Bahia,1995,19245.379583209608
156,Minas Gerais,1995,34318.552765655804
157,Espírito Santo,1995,2042.857888653788
158,Rio de Janeiro,1995,7858.884109025046
159,São Paulo,1995,11549.03832740267
160,Paraná,1995,4267.933617887669
161,Santa Catarina,1995,9474.222434698502
162,Rio Grande do Sul,1995,12144.966607346993
163,Mato Grosso do Sul,1995,21845.87017466917
164,Mato Grosso,1995,480988.9902682799
165,Goiás,1995,47503.43653557297
166,Distrito Federal,1995,293.6031827173356
168,Rondônia,1996,133543.62730921461
169,Acre,1996,24122.158131185388
170,Amazonas,1996,-2547.209088021483
171,Roraima,1996,4853.42700655695
172,Pará,1996,421608.8882674621
173,Amapá,1996,-5775.544198147727
174,Tocantins,1996,45011.47719622079
175,Maranhão,1996,120301.29784024268
176,Piauí,1996,13001.626438596317
177,Ceará,1996,6264.365930896419
178,Rio Grande do Norte,1996,1880.0891642856284
179,Paraíba,1996,2222.69250014504
180,Pernambuco,1996,4139.971239288831
181,Alagoas,1996,986.8086273991746
182,Sergipe,1996,798.8494674955554
183,Bahia,1996,20603.993071914483
184,Minas Gerais,1996,28035.072536414402
185,Espírito Santo,1996,650.8709147407914
186,Rio de Janeiro,1996,-145.9404422478769
187,São Paulo,1996,5424.099715181404
188,Paraná,1996,20480.838716824244
189,Santa Catarina,1996,3640.845236188785
190,Rio Grande do Sul,1996,6238.9183230147455
191,Mato Grosso do Sul,1996,27459.97002988
192,Mato Grosso,1996,312603.7081721744
193,Goiás,1996,48044.87666440613
194,Distrito Federal,1996,280.62478173701504
196,Rondônia,1997,104044.11684816603
197,Acre,1997,18605.390340103233
198,Amazonas,1997,-31277.630304014987
199,Roraima,1997,1998.072654178383
200,Pará,1997,259343.81091237816
201,Amapá,1997,3889.905791204058
202,Tocantins,1997,42250.6077164392
203,Maranhão,1997,68937.38669453288
204,Piauí,1997,12584.74120923983
205,Ceará,1997,6164.407466019678
206,Rio Grande do Norte,1997,1880.335899091292
207,Paraíba,1997,2222.9849862601964
208,Pernambuco,1997,4136.492992241785
209,Alagoas,1997,986.9411200803058
210,Sergipe,1997,798.9541257037781
211,Bahia,1997,19685.23616817409
212,Minas Gerais,1997,34162.13091094884
213,Espírito Santo,1997,79.02510380777011
214,Rio de Janeiro,1997,-165.47987568488665
215,São Paulo,1997,1104.2168938674654
216,Paraná,1997,16358.295199522521
217,Santa Catarina,1997,1126.9691416247606
218,Rio Grande do Sul,1997,4988.424761421007
219,Mato Grosso do Sul,1997,27453.941428182265
220,Mato Grosso,1997,260944.92999908346
221,Goiás,1997,48015.436690016075
222,Distrito Federal,1997,258.53881505963085
224,Rondônia,1998,104371.44595913716
225,Acre,1998,31824.786826435597
226,Amazonas,1998,-28082.50196012364
227,Roraima,1998,5501.887528827013
228,Pará,1998,390150.30020074866
229,Amapá,1998,8840.49413445219
230,Tocantins,1998,59764.05815269526
231,Maranhão,1998,115664.53330410246
232,Piauí,1998,12564.592456377603
233,Ceará,1998,6069.580359440883
234,Rio Grande do Norte,1998,1881.3803551325366
235,Paraíba,1998,2224.2231127139535
236,Pernambuco,1998,4082.7679656883447
237,Alagoas,1998,942.7291260558292
238,Sergipe,1998,799.3971556101185
239,Bahia,1998,17963.894391939903
240,Minas Gerais,1998,29136.65800781118
241,Espírito Santo,1998,566.68045365235
242,Rio de Janeiro,1998,-164.70662443798906
243,São Paulo,1998,1225.9292398814507
244,Paraná,1998,17377.65164893077
245,Santa Catarina,1998,1792.0447280717663
246,Rio Grande do Sul,1998,5007.5881335838585
247,Mato Grosso do Sul,1998,27144.357106831307
248,Mato Grosso,1998,304704.6031569078
249,Goiás,1998,48045.536536239495
250,Distrito Federal,1998,293.9330677371607
252,Rondônia,1999,130632.31767746671
253,Acre,1999,25022.535142967034
254,Amazonas,1999,-42843.67102250147
255,Roraima,1999,2248.9253123889534
256,Pará,1999,336329.7309839692
257,Amapá,1999,-8068.651053694751
258,Tocantins,1999,35348.78063731828
259,Maranhão,1999,136181.14776542506
260,Piauí,1999,12056.67463747584
261,Ceará,1999,6067.369925984889
262,Rio Grande do Norte,1999,1881.541304216965
263,Paraíba,1999,2224.413906113838
264,Pernambuco,1999,4080.53543511669
265,Alagoas,1999,942.8155531639309
266,Sergipe,1999,799.4654258436029
267,Bahia,1999,17457.80325821983
268,Minas Gerais,1999,33504.830111728494
269,Espírito Santo,1999,139.4062985014194
270,Rio de Janeiro,1999,-163.96434108080075
271,São Paulo,1999,-823.381795390886
272,Paraná,1999,16450.889003201974
273,Santa Catarina,1999,10.772703509271906
274,Rio Grande do Sul,1999,4874.029071071829
275,Mato Grosso do Sul,1999,27015.965227739434
276,Mato Grosso,1999,334179.7114486559
277,Goiás,1999,47909.95301606975
278,Distrito Federal,1999,296.41962913473185
280,Rondônia,2000,131572.08251939996
281,Acre,2000,31803.61208713848
282,Amazonas,2000,-55356.41508970545
283,Roraima,2000,1928.6179512298809
284,Pará,2000,446774.033397764
285,Amapá,2000,-7944.716024318246
286,Tocantins,2000,36588.55245234875
287,Maranhão,2000,119448.72242078111
288,Piauí,2000,11983.79589092827
289,Ceará,2000,6066.679945576176
290,Rio Grande do Norte,2000,1870.6310296673262
291,Paraíba,2000,2224.7149184373916
292,Pernambuco,2000,4072.947632612985
293,Alagoas,2000,942.9420396279204
294,Sergipe,2000,799.5731349238076
295,Bahia,2000,14615.078573610474
296,Minas Gerais,2000,34056.82226495344
297,Espírito Santo,2000,-730.9327929594372
298,Rio de Janeiro,2000,-163.70245846239672
299,São Paulo,2000,110.21686688126994
300,Paraná,2000,16779.19291432132
301,Santa Catarina,2000,-640.6442523196849
302,Rio Grande do Sul,2000,4616.72469215044
303,Mato Grosso do Sul,2000,26967.750047994276
304,Mato Grosso,2000,298361.81027319754
305,Goiás,2000,47968.68317233914
306,Distrito Federal,2000,296.29272105848617
308,Rondônia,2001,153424.96877308236
309,Acre,2001,22740.462293708213
310,Amazonas,2001,-52579.243452761795
311,Roraima,2001,12973.569011422846
312,Pará,2001,348694.07165460987
313,Amapá,2001,-3872.137044861889
314,Tocantins,2001,33375.317172982766
315,Maranhão,2001,114551.49904511348
316,Piauí,2001,12060.40245608301
317,Ceará,2001,6065.7752934343
318,Rio Grande do Norte,2001,1674.7479324768117
319,Paraíba,2001,2073.2156866847413
320,Pernambuco,2001,3108.351752196977
321,Alagoas,2001,485.97736880308224
322,Sergipe,2001,571.805460745623
323,Bahia,2001,34504.84106194421
324,Minas Gerais,2001,20978.87286229147
