cod;nome;período;valor
42;SC;1993;1.45
43;RS;1993;2.37
50;MS;1993;4.26
51;MT;1993;2.97
52;GO;1993;4.62
53;DF;1993;5.63
23;CE;1994;1.73
51;MT;1994;1.85
52;GO;1994;4.4
53;DF;1994;5.64
27;AL;1994;3.55
28;SE;1994;3.97
29;BA;1994;2.85
31;MG;1994;2.06
32;ES;1994;7.86
33;RJ;1994;7.2
35;SP;1994;4.69
41;PR;1994;2.99
42;SC;1994;1.89
43;RS;1994;2.87
50;MS;1994;5.15
26;PE;1994;5.01
25;PB;1994;1.64
24;RN;1994;1.46
12;AC;1994;4.99
13;AM;1994;2.4
14;RR;1994;5.33
15;PA;1994;2.23
16;AP;1994;10.11
17;TO;1994;2.69
21;MA;1994;0.92
22;PI;1994;0.73
11;RO;1994;5.94
52;GO;1995;6
13;AM;1995;3.65
11;RO;1995;5.73
12;AC;1995;7.12
53;DF;1995;6.31
51;MT;1995;5.91
50;MS;1995;5.38
43;RS;1995;3.1
42;SC;1995;1.99
41;PR;1995;3.73
35;SP;1995;5.63
33;RJ;1995;8.53
32;ES;1995;8.81
31;MG;1995;1.74
29;BA;1995;2.58
28;SE;1995;3.3
27;AL;1995;4.51
26;PE;1995;5.33
25;PB;1995;3.82
24;RN;1995;2.27
23;CE;1995;1.59
22;PI;1995;1.36
21;MA;1995;1.52
17;TO;1995;1.02
16;AP;1995;6.77
15;PA;1995;2.18
14;RR;1995;6.82
13;AM;1996;2.78
14;RR;1996;15.03
15;PA;1996;2.87
16;AP;1996;8.49
17;TO;1996;4.11
21;MA;1996;1.18
22;PI;1996;1.03
23;CE;1996;2.41
24;RN;1996;2.67
25;PB;1996;6.21
26;PE;1996;6.4
27;AL;1996;5.19
28;SE;1996;3.62
29;BA;1996;2.77
11;RO;1996;7.22
12;AC;1996;6.27
31;MG;1996;2.2
32;ES;1996;8.73
33;RJ;1996;9.36
35;SP;1996;5.54
41;PR;1996;3.4
42;SC;1996;2.75
43;RS;1996;3.92
50;MS;1996;8.24
51;MT;1996;8.04
52;GO;1996;5.27
53;DF;1996;5.49
17;TO;1997;3.6
53;DF;1997;4.91
52;GO;1997;4.05
51;MT;1997;7.95
50;MS;1997;7.26
43;RS;1997;3.83
42;SC;1997;2.06
41;PR;1997;3.41
35;SP;1997;5.83
33;RJ;1997;9.18
32;ES;1997;8.92
31;MG;1997;2.1
29;BA;1997;2.72
28;SE;1997;2.13
27;AL;1997;4.55
26;PE;1997;6.29
25;PB;1997;2.44
24;RN;1997;2.03
23;CE;1997;2.39
22;PI;1997;0.95
21;MA;1997;1.73
16;AP;1997;6.01
15;PA;1997;2.73
14;RR;1997;8.11
13;AM;1997;2.69
12;AC;1997;5.66
11;RO;1997;5.43
35;SP;1998;5.78
33;RJ;1998;7.89
32;ES;1998;11.2
31;MG;1998;2.33
29;BA;1998;1.55
28;SE;1998;1.51
27;AL;1998;3.27
26;PE;1998;7.12
25;PB;1998;2.37
24;RN;1998;1.49
23;CE;1998;1.56
22;PI;1998;1.44
21;MA;1998;1.11
17;TO;1998;3.51
16;AP;1998;5.74
15;PA;1998;2.36
14;RR;1998;9.5
13;AM;1998;4.14
12;AC;1998;4.72
11;RO;1998;7.28
41;PR;1998;3.82
42;SC;1998;2.75
43;RS;1998;3.61
50;MS;1998;7.35
51;MT;1998;8.25
52;GO;1998;3.2
53;DF;1998;5.4
27;AL;1999;3.96
29;BA;1999;1.34
15;PA;1999;1.34
16;AP;1999;7.78
17;TO;1999;2.89
51;MT;1999;6.18
21;MA;1999;0.99
22;PI;1999;0.5
23;CE;1999;2.5
52;GO;1999;4.83
53;DF;1999;5.85
50;MS;1999;6.25
43;RS;1999;3.22
31;MG;1999;2.54
42;SC;1999;1.96
41;PR;1999;3.86
35;SP;1999;6.18
33;RJ;1999;7.58
32;ES;1999;8.67
11;RO;1999;6.05
12;AC;1999;2.68
13;AM;1999;3.97
14;RR;1999;11.6
24;RN;1999;1.77
25;PB;1999;1.95
26;PE;1999;6.76
28;SE;1999;4.58
29;BA;2000;1.95
53;DF;2000;3.76
52;GO;2000;5.49
51;MT;2000;6.47
50;MS;2000;6.75
43;RS;2000;3.31
42;SC;2000;1.93
41;PR;2000;3.32
35;SP;2000;5.98
33;RJ;2000;7.05
32;ES;2000;7.05
31;MG;2000;2.72
28;SE;2000;3.97
27;AL;2000;4.34
26;PE;2000;7.39
25;PB;2000;2.43
24;RN;2000;1.51
23;CE;2000;2.72
22;PI;2000;0.94
21;MA;2000;1.09
17;TO;2000;2.75
16;AP;2000;1.62
15;PA;2000;2
14;RR;2000;13.53
13;AM;2000;2.52
12;AC;2000;4.49
11;RO;2000;6.69
22;PI;2001;2.33
21;MA;2001;1.81
17;TO;2001;3.88
16;AP;2001;4.66
15;PA;2001;3
14;RR;2001;4.14
13;AM;2001;3.76
12;AC;2001;4.02
11;RO;2001;9.29
33;RJ;2001;7.29
35;SP;2001;5.64
41;PR;2001;3.95
42;SC;2001;2.14
43;RS;2001;3.37
50;MS;2001;5.9
51;MT;2001;7.2
52;GO;2001;4.97
53;DF;2001;3.93
24;RN;2001;1.62
25;PB;2001;2.45
23;CE;2001;2.88
26;PE;2001;6.92
27;AL;2001;3.61
28;SE;2001;3.27
29;BA;2001;1.79
31;MG;2001;2.57
32;ES;2001;8.11
13;AM;2002;2.34
11;RO;2002;6.19
12;AC;2002;3.57
14;RR;2002;6.85
15;PA;2002;2.21
16;AP;2002;4.48
17;TO;2002;3.31
21;MA;2002;1.29
22;PI;2002;1.78
53;DF;2002;4.36
52;GO;2002;5.39
51;MT;2002;7.05
50;MS;2002;6.98
43;RS;2002;3.68
42;SC;2002;2.63
41;PR;2002;4.04
35;SP;2002;5.32
33;RJ;2002;7.13
32;ES;2002;9.02
31;MG;2002;3.1
29;BA;2002;1.78
28;SE;2002;3.84
27;AL;2002;4.62
26;PE;2002;6.37
25;PB;2002;2.48
24;RN;2002;1.53
23;CE;2002;3.11
12;AC;2003;4.73
13;AM;2003;2.29
14;RR;2003;3.31
15;PA;2003;2.76
16;AP;2003;5.4
17;TO;2003;3.57
21;MA;2003;2.25
11;RO;2003;7.07
22;PI;2003;2.08
53;DF;2003;5.27
52;GO;2003;5.22
51;MT;2003;6.76
50;MS;2003;5.7
43;RS;2003;3.27
42;SC;2003;2.42
41;PR;2003;4.45
35;SP;2003;5.14
33;RJ;2003;6.64
32;ES;2003;8.42
31;MG;2003;3.92
29;BA;2003;2.19
28;SE;2003;3.47
27;AL;2003;4.37
26;PE;2003;6.3
25;PB;2003;1.87
24;RN;2003;2.11
23;CE;2003;2.53
23;CE;2004;2.98
53;DF;2004;4.32
52;GO;2004;5.09
51;MT;2004;7.29
50;MS;2004;4.82
43;RS;2004;3.58
42;SC;2004;2.69
41;PR;2004;4.84
35;SP;2004;4.25
33;RJ;2004;6.3
32;ES;2004;8.08
31;MG;2004;3.86
29;BA;2004;2.78
28;SE;2004;2.91
27;AL;2004;4.83
26;PE;2004;6.28
25;PB;2004;3.18
24;RN;2004;1.36
22;PI;2004;1.68
21;MA;2004;1.7
17;TO;2004;2.87
16;AP;2004;5.21
15;PA;2004;2.7
14;RR;2004;3.73
13;AM;2004;3.14
12;AC;2004;3.06
11;RO;2004;4.51
22;PI;2005;2.56
11;RO;2005;6.61
12;AC;2005;3.87
13;AM;2005;3.01
14;RR;2005;5.68
15;PA;2005;3.62
16;AP;2005;5.04
17;TO;2005;3.28
21;MA;2005;1.83
53;DF;2005;3.81
52;GO;2005;4.68
51;MT;2005;6.42
50;MS;2005;6.03
43;RS;2005;3.82
42;SC;2005;2.28
41;PR;2005;4.6
35;SP;2005;3.78
33;RJ;2005;6.25
32;ES;2005;8.67
31;MG;2005;3.86
29;BA;2005;2.99
28;SE;2005;2.77
27;AL;2005;4.71
26;PE;2005;6.34
25;PB;2005;3.26
24;RN;2005;2.63
23;CE;2005;3.42
35;SP;2006;3.8
