,Unidade Territorial,Referência,Perc RF fam PBF
496,RIO GRANDE DO NORTE,2015-06-01,92.8
497,PARAÍBA,2015-06-01,93.1
498,PERNAMBUCO,2015-06-01,91.6
499,ALAGOAS,2015-06-01,92.4
500,SERGIPE,2015-06-01,91.7
501,BAHIA,2015-06-01,91.2
502,MINAS GERAIS,2015-06-01,93.0
503,ESPÍRITO SANTO,2015-06-01,93.5
504,RIO DE JANEIRO,2015-06-01,94.1
505,SÃO PAULO,2015-06-01,93.3
506,PARANÁ,2015-06-01,92.8
507,SANTA CATARINA,2015-06-01,93.5
508,RIO GRANDE DO SUL,2015-06-01,93.0
509,MATO GROSSO DO SUL,2015-06-01,92.8
510,MATO GROSSO,2015-06-01,93.9
511,GOIÁS,2015-06-01,94.7
512,DISTRITO FEDERAL,2015-06-01,94.4
513,RONDÔNIA,2015-07-01,93.4
514,ACRE,2015-07-01,90.8
515,AMAZONAS,2015-07-01,90.4
516,RORAIMA,2015-07-01,89.4
517,PARÁ,2015-07-01,91.9
518,AMAPÁ,2015-07-01,92.6
519,TOCANTINS,2015-07-01,92.6
520,MARANHÃO,2015-07-01,90.7
521,PIAUÍ,2015-07-01,90.0
522,CEARÁ,2015-07-01,94.1
523,RIO GRANDE DO NORTE,2015-07-01,92.8
524,PARAÍBA,2015-07-01,93.1
525,PERNAMBUCO,2015-07-01,91.6
526,ALAGOAS,2015-07-01,92.4
527,SERGIPE,2015-07-01,91.7
528,BAHIA,2015-07-01,91.2
529,MINAS GERAIS,2015-07-01,93.0
530,ESPÍRITO SANTO,2015-07-01,93.6
531,RIO DE JANEIRO,2015-07-01,94.1
532,SÃO PAULO,2015-07-01,93.1
533,PARANÁ,2015-07-01,92.8
534,SANTA CATARINA,2015-07-01,93.5
535,RIO GRANDE DO SUL,2015-07-01,93.0
536,MATO GROSSO DO SUL,2015-07-01,92.9
537,MATO GROSSO,2015-07-01,93.9
538,GOIÁS,2015-07-01,94.8
539,DISTRITO FEDERAL,2015-07-01,93.9
540,RONDÔNIA,2015-08-01,93.4
541,ACRE,2015-08-01,90.8
542,AMAZONAS,2015-08-01,90.3
543,RORAIMA,2015-08-01,89.4
544,PARÁ,2015-08-01,91.9
545,AMAPÁ,2015-08-01,92.7
546,TOCANTINS,2015-08-01,92.6
547,MARANHÃO,2015-08-01,90.7
548,PIAUÍ,2015-08-01,90.0
549,CEARÁ,2015-08-01,94.1
550,RIO GRANDE DO NORTE,2015-08-01,92.8
551,PARAÍBA,2015-08-01,93.1
552,PERNAMBUCO,2015-08-01,91.6
553,ALAGOAS,2015-08-01,92.4
554,SERGIPE,2015-08-01,91.8
555,BAHIA,2015-08-01,91.2
556,MINAS GERAIS,2015-08-01,93.0
557,ESPÍRITO SANTO,2015-08-01,93.6
558,RIO DE JANEIRO,2015-08-01,94.1
559,SÃO PAULO,2015-08-01,93.1
560,PARANÁ,2015-08-01,92.7
561,SANTA CATARINA,2015-08-01,93.5
562,RIO GRANDE DO SUL,2015-08-01,93.0
563,MATO GROSSO DO SUL,2015-08-01,93.0
564,MATO GROSSO,2015-08-01,93.9
565,GOIÁS,2015-08-01,94.8
566,DISTRITO FEDERAL,2015-08-01,93.9
567,RONDÔNIA,2015-09-01,93.3
568,ACRE,2015-09-01,90.6
569,AMAZONAS,2015-09-01,90.3
570,RORAIMA,2015-09-01,89.3
571,PARÁ,2015-09-01,91.9
572,AMAPÁ,2015-09-01,92.7
573,TOCANTINS,2015-09-01,92.5
574,MARANHÃO,2015-09-01,90.7
575,PIAUÍ,2015-09-01,90.0
576,CEARÁ,2015-09-01,94.0
577,RIO GRANDE DO NORTE,2015-09-01,92.9
578,PARAÍBA,2015-09-01,93.1
579,PERNAMBUCO,2015-09-01,91.6
580,ALAGOAS,2015-09-01,92.4
581,SERGIPE,2015-09-01,91.8
582,BAHIA,2015-09-01,91.2
583,MINAS GERAIS,2015-09-01,92.9
584,ESPÍRITO SANTO,2015-09-01,93.3
585,RIO DE JANEIRO,2015-09-01,94.0
586,SÃO PAULO,2015-09-01,93.0
587,PARANÁ,2015-09-01,92.5
588,SANTA CATARINA,2015-09-01,93.3
589,RIO GRANDE DO SUL,2015-09-01,92.9
590,MATO GROSSO DO SUL,2015-09-01,92.8
