,Unidade Territorial,Referência,Perc RF fam PBF
1244,AMAZONAS,2017-10-01,89.0
1245,RORAIMA,2017-10-01,89.1
1246,PARÁ,2017-10-01,91.0
1247,AMAPÁ,2017-10-01,92.2
1248,TOCANTINS,2017-10-01,91.6
1249,MARANHÃO,2017-10-01,89.4
1250,PIAUÍ,2017-10-01,88.0
1251,CEARÁ,2017-10-01,92.3
1252,RIO GRANDE DO NORTE,2017-10-01,91.4
1253,PARAÍBA,2017-10-01,91.0
1254,PERNAMBUCO,2017-10-01,89.4
1255,ALAGOAS,2017-10-01,90.9
1256,SERGIPE,2017-10-01,89.2
1257,BAHIA,2017-10-01,89.1
1258,MINAS GERAIS,2017-10-01,90.8
1259,ESPÍRITO SANTO,2017-10-01,91.9
1260,RIO DE JANEIRO,2017-10-01,92.4
1261,SÃO PAULO,2017-10-01,90.0
1262,PARANÁ,2017-10-01,90.1
1263,SANTA CATARINA,2017-10-01,90.9
1264,RIO GRANDE DO SUL,2017-10-01,91.0
1265,MATO GROSSO DO SUL,2017-10-01,92.1
1266,MATO GROSSO,2017-10-01,92.5
1267,GOIÁS,2017-10-01,93.7
1268,DISTRITO FEDERAL,2017-10-01,91.6
1269,RONDÔNIA,2017-11-01,93.3
1270,ACRE,2017-11-01,89.5
1271,AMAZONAS,2017-11-01,88.8
1272,RORAIMA,2017-11-01,89.2
1273,PARÁ,2017-11-01,90.8
1274,AMAPÁ,2017-11-01,91.9
1275,TOCANTINS,2017-11-01,91.5
1276,MARANHÃO,2017-11-01,89.3
1277,PIAUÍ,2017-11-01,87.8
1278,CEARÁ,2017-11-01,92.1
1279,RIO GRANDE DO NORTE,2017-11-01,91.2
1280,PARAÍBA,2017-11-01,90.8
1281,PERNAMBUCO,2017-11-01,89.2
1282,ALAGOAS,2017-11-01,90.8
1283,SERGIPE,2017-11-01,88.9
1284,BAHIA,2017-11-01,88.9
1285,MINAS GERAIS,2017-11-01,90.6
1286,ESPÍRITO SANTO,2017-11-01,91.6
1287,RIO DE JANEIRO,2017-11-01,92.1
1288,SÃO PAULO,2017-11-01,89.7
1289,PARANÁ,2017-11-01,89.9
1290,SANTA CATARINA,2017-11-01,90.7
1291,RIO GRANDE DO SUL,2017-11-01,90.8
1292,MATO GROSSO DO SUL,2017-11-01,92.0
1293,MATO GROSSO,2017-11-01,92.3
1294,GOIÁS,2017-11-01,93.6
1295,DISTRITO FEDERAL,2017-11-01,91.2
1296,RONDÔNIA,2017-12-01,93.2
1297,ACRE,2017-12-01,89.4
1298,AMAZONAS,2017-12-01,88.7
1299,RORAIMA,2017-12-01,89.2
1300,PARÁ,2017-12-01,90.7
1301,AMAPÁ,2017-12-01,91.6
1302,TOCANTINS,2017-12-01,91.4
1303,MARANHÃO,2017-12-01,89.2
1304,PIAUÍ,2017-12-01,87.7
1305,CEARÁ,2017-12-01,92.0
1306,RIO GRANDE DO NORTE,2017-12-01,91.1
1307,PARAÍBA,2017-12-01,90.6
1308,PERNAMBUCO,2017-12-01,89.0
1309,ALAGOAS,2017-12-01,90.7
1310,SERGIPE,2017-12-01,88.8
1311,BAHIA,2017-12-01,88.8
1312,MINAS GERAIS,2017-12-01,90.4
1313,ESPÍRITO SANTO,2017-12-01,91.5
1314,RIO DE JANEIRO,2017-12-01,91.9
1315,SÃO PAULO,2017-12-01,89.6
1316,PARANÁ,2017-12-01,89.8
1317,SANTA CATARINA,2017-12-01,90.5
1318,RIO GRANDE DO SUL,2017-12-01,90.7
1319,MATO GROSSO DO SUL,2017-12-01,91.9
1320,MATO GROSSO,2017-12-01,92.3
1321,GOIÁS,2017-12-01,93.5
1322,DISTRITO FEDERAL,2017-12-01,91.1
1323,RONDÔNIA,2018-01-01,93.1
1324,ACRE,2018-01-01,89.3
1325,AMAZONAS,2018-01-01,88.6
1326,RORAIMA,2018-01-01,89.0
1327,PARÁ,2018-01-01,90.6
1328,AMAPÁ,2018-01-01,91.3
1329,TOCANTINS,2018-01-01,91.3
1330,MARANHÃO,2018-01-01,89.1
1331,PIAUÍ,2018-01-01,87.5
1332,CEARÁ,2018-01-01,91.9
1333,RIO GRANDE DO NORTE,2018-01-01,91.0
1334,PARAÍBA,2018-01-01,90.5
1335,PERNAMBUCO,2018-01-01,88.9
1336,ALAGOAS,2018-01-01,90.6
1337,SERGIPE,2018-01-01,88.6
1338,BAHIA,2018-01-01,88.6
1339,MINAS GERAIS,2018-01-01,90.3
1340,ESPÍRITO SANTO,2018-01-01,91.4
1341,RIO DE JANEIRO,2018-01-01,91.7
1342,SÃO PAULO,2018-01-01,89.4
1343,PARANÁ,2018-01-01,89.7
1344,SANTA CATARINA,2018-01-01,90.4
1345,RIO GRANDE DO SUL,2018-01-01,90.5
1346,MATO GROSSO DO SUL,2018-01-01,91.7
1347,MATO GROSSO,2018-01-01,92.1
1348,GOIÁS,2018-01-01,93.3
1349,DISTRITO FEDERAL,2018-01-01,90.9
1350,RONDÔNIA,2018-02-01,93.1
1351,ACRE,2018-02-01,89.3
1352,AMAZONAS,2018-02-01,88.5
1353,RORAIMA,2018-02-01,89.0
1354,PARÁ,2018-02-01,90.5
1355,AMAPÁ,2018-02-01,90.9
1356,TOCANTINS,2018-02-01,91.2
1357,MARANHÃO,2018-02-01,89.0
1358,PIAUÍ,2018-02-01,87.4
1359,CEARÁ,2018-02-01,91.8
1360,RIO GRANDE DO NORTE,2018-02-01,90.9
1361,PARAÍBA,2018-02-01,90.4
1362,PERNAMBUCO,2018-02-01,88.7
1363,ALAGOAS,2018-02-01,90.5
1364,SERGIPE,2018-02-01,88.4
1365,BAHIA,2018-02-01,88.5
1366,MINAS GERAIS,2018-02-01,90.2
1367,ESPÍRITO SANTO,2018-02-01,91.3
1368,RIO DE JANEIRO,2018-02-01,91.6
1369,SÃO PAULO,2018-02-01,89.4
1370,PARANÁ,2018-02-01,89.6
1371,SANTA CATARINA,2018-02-01,90.3
1372,RIO GRANDE DO SUL,2018-02-01,90.4
1373,MATO GROSSO DO SUL,2018-02-01,91.7
1374,MATO GROSSO,2018-02-01,92.1
1375,GOIÁS,2018-02-01,93.3
1376,DISTRITO FEDERAL,2018-02-01,91.0
1377,RONDÔNIA,2018-03-01,93.1
1378,ACRE,2018-03-01,89.3
1379,AMAZONAS,2018-03-01,88.4
1380,RORAIMA,2018-03-01,89.1
1381,PARÁ,2018-03-01,90.5
1382,AMAPÁ,2018-03-01,90.9
1383,TOCANTINS,2018-03-01,91.3
1384,MARANHÃO,2018-03-01,89.1
1385,PIAUÍ,2018-03-01,87.4
1386,CEARÁ,2018-03-01,91.8
1387,RIO GRANDE DO NORTE,2018-03-01,90.9
1388,PARAÍBA,2018-03-01,90.3
1389,PERNAMBUCO,2018-03-01,88.7
1390,ALAGOAS,2018-03-01,90.4
1391,SERGIPE,2018-03-01,88.4
1392,BAHIA,2018-03-01,88.5
1393,MINAS GERAIS,2018-03-01,90.2
1394,ESPÍRITO SANTO,2018-03-01,91.3
1395,RIO DE JANEIRO,2018-03-01,91.5
1396,SÃO PAULO,2018-03-01,89.4
1397,PARANÁ,2018-03-01,89.5
1398,SANTA CATARINA,2018-03-01,90.3
1399,RIO GRANDE DO SUL,2018-03-01,90.3
1400,MATO GROSSO DO SUL,2018-03-01,91.7
1401,MATO GROSSO,2018-03-01,92.2
1402,GOIÁS,2018-03-01,93.2
1403,DISTRITO FEDERAL,2018-03-01,90.9
1404,RONDÔNIA,2018-04-01,93.1
1405,ACRE,2018-04-01,89.2
1406,AMAZONAS,2018-04-01,88.3
1407,RORAIMA,2018-04-01,89.0
1408,PARÁ,2018-04-01,90.5
1409,AMAPÁ,2018-04-01,90.8
1410,TOCANTINS,2018-04-01,91.2
1411,MARANHÃO,2018-04-01,88.9
1412,PIAUÍ,2018-04-01,87.2
1413,CEARÁ,2018-04-01,91.6
1414,RIO GRANDE DO NORTE,2018-04-01,90.6
1415,PARAÍBA,2018-04-01,90.1
1416,PERNAMBUCO,2018-04-01,88.5
1417,ALAGOAS,2018-04-01,90.3
1418,SERGIPE,2018-04-01,88.2
1419,BAHIA,2018-04-01,88.3
1420,MINAS GERAIS,2018-04-01,89.9
1421,ESPÍRITO SANTO,2018-04-01,91.1
1422,RIO DE JANEIRO,2018-04-01,91.4
1423,SÃO PAULO,2018-04-01,89.1
1424,PARANÁ,2018-04-01,89.3
1425,SANTA CATARINA,2018-04-01,90.0
1426,RIO GRANDE DO SUL,2018-04-01,90.1
1427,MATO GROSSO DO SUL,2018-04-01,91.7
1428,MATO GROSSO,2018-04-01,92.1
1429,GOIÁS,2018-04-01,93.1
1430,DISTRITO FEDERAL,2018-04-01,90.7
1431,RONDÔNIA,2018-05-01,93.1
1432,ACRE,2018-05-01,89.2
1433,AMAZONAS,2018-05-01,88.2
1434,RORAIMA,2018-05-01,89.1
1435,PARÁ,2018-05-01,90.4
1436,AMAPÁ,2018-05-01,90.7
1437,TOCANTINS,2018-05-01,91.3
1438,MARANHÃO,2018-05-01,88.9
1439,PIAUÍ,2018-05-01,87.2
1440,CEARÁ,2018-05-01,91.6
1441,RIO GRANDE DO NORTE,2018-05-01,90.6
1442,PARAÍBA,2018-05-01,90.0
1443,PERNAMBUCO,2018-05-01,88.5
1444,ALAGOAS,2018-05-01,90.2
1445,SERGIPE,2018-05-01,88.0
1446,BAHIA,2018-05-01,88.2
1447,MINAS GERAIS,2018-05-01,89.9
1448,ESPÍRITO SANTO,2018-05-01,91.1
1449,RIO DE JANEIRO,2018-05-01,91.3
1450,SÃO PAULO,2018-05-01,89.2
1451,PARANÁ,2018-05-01,89.4
1452,SANTA CATARINA,2018-05-01,90.1
1453,RIO GRANDE DO SUL,2018-05-01,90.1
1454,MATO GROSSO DO SUL,2018-05-01,91.7
1455,MATO GROSSO,2018-05-01,92.2
1456,GOIÁS,2018-05-01,93.2
1457,DISTRITO FEDERAL,2018-05-01,90.8
1458,RONDÔNIA,2018-06-01,93.0
1459,ACRE,2018-06-01,89.1
1460,AMAZONAS,2018-06-01,88.0
1461,RORAIMA,2018-06-01,88.6
1462,PARÁ,2018-06-01,90.2
1463,AMAPÁ,2018-06-01,90.6
1464,TOCANTINS,2018-06-01,91.0
1465,MARANHÃO,2018-06-01,88.7
1466,PIAUÍ,2018-06-01,86.9
1467,CEARÁ,2018-06-01,91.4
1468,RIO GRANDE DO NORTE,2018-06-01,90.3
1469,PARAÍBA,2018-06-01,89.7
1470,PERNAMBUCO,2018-06-01,88.2
1471,ALAGOAS,2018-06-01,89.8
1472,SERGIPE,2018-06-01,87.6
1473,BAHIA,2018-06-01,88.0
1474,MINAS GERAIS,2018-06-01,89.6
1475,ESPÍRITO SANTO,2018-06-01,90.8
1476,RIO DE JANEIRO,2018-06-01,91.0
1477,SÃO PAULO,2018-06-01,88.9
1478,PARANÁ,2018-06-01,89.1
1479,SANTA CATARINA,2018-06-01,89.7
1480,RIO GRANDE DO SUL,2018-06-01,89.7
1481,MATO GROSSO DO SUL,2018-06-01,91.4
1482,MATO GROSSO,2018-06-01,92.0
1483,GOIÁS,2018-06-01,93.0
1484,DISTRITO FEDERAL,2018-06-01,90.7
1485,RONDÔNIA,2018-07-01,93.1
1486,ACRE,2018-07-01,89.0
1487,AMAZONAS,2018-07-01,88.0
1488,RORAIMA,2018-07-01,88.3
1489,PARÁ,2018-07-01,90.2
1490,AMAPÁ,2018-07-01,90.6
1491,TOCANTINS,2018-07-01,91.1
1492,MARANHÃO,2018-07-01,88.7
1493,PIAUÍ,2018-07-01,86.8
1494,CEARÁ,2018-07-01,91.4
1495,RIO GRANDE DO NORTE,2018-07-01,90.3
1496,PARAÍBA,2018-07-01,89.7
1497,PERNAMBUCO,2018-07-01,88.2
1498,ALAGOAS,2018-07-01,89.9
1499,SERGIPE,2018-07-01,87.6
1500,BAHIA,2018-07-01,88.0
1501,MINAS GERAIS,2018-07-01,89.8
1502,ESPÍRITO SANTO,2018-07-01,90.9
1503,RIO DE JANEIRO,2018-07-01,91.1
1504,SÃO PAULO,2018-07-01,88.9
1505,PARANÁ,2018-07-01,89.2
1506,SANTA CATARINA,2018-07-01,89.8
1507,RIO GRANDE DO SUL,2018-07-01,89.8
1508,MATO GROSSO DO SUL,2018-07-01,91.4
1509,MATO GROSSO,2018-07-01,91.9
1510,GOIÁS,2018-07-01,93.0
1511,DISTRITO FEDERAL,2018-07-01,90.9
1512,RONDÔNIA,2018-08-01,93.1
1513,ACRE,2018-08-01,88.9
1514,AMAZONAS,2018-08-01,87.9
1515,RORAIMA,2018-08-01,88.0
1516,PARÁ,2018-08-01,90.1
1517,AMAPÁ,2018-08-01,90.4
1518,TOCANTINS,2018-08-01,91.0
1519,MARANHÃO,2018-08-01,88.6
1520,PIAUÍ,2018-08-01,86.7
1521,CEARÁ,2018-08-01,91.3
1522,RIO GRANDE DO NORTE,2018-08-01,90.2
1523,PARAÍBA,2018-08-01,89.6
1524,PERNAMBUCO,2018-08-01,88.1
1525,ALAGOAS,2018-08-01,89.8
1526,SERGIPE,2018-08-01,87.4
1527,BAHIA,2018-08-01,87.9
1528,MINAS GERAIS,2018-08-01,89.7
1529,ESPÍRITO SANTO,2018-08-01,90.8
1530,RIO DE JANEIRO,2018-08-01,91.0
1531,SÃO PAULO,2018-08-01,88.8
1532,PARANÁ,2018-08-01,89.1
1533,SANTA CATARINA,2018-08-01,89.7
1534,RIO GRANDE DO SUL,2018-08-01,89.7
1535,MATO GROSSO DO SUL,2018-08-01,91.3
1536,MATO GROSSO,2018-08-01,91.8
1537,GOIÁS,2018-08-01,92.9
1538,DISTRITO FEDERAL,2018-08-01,90.8
1539,RONDÔNIA,2018-09-01,92.9
1540,ACRE,2018-09-01,88.9
1541,AMAZONAS,2018-09-01,87.7
1542,RORAIMA,2018-09-01,87.2
1543,PARÁ,2018-09-01,90.0
1544,AMAPÁ,2018-09-01,90.2
1545,TOCANTINS,2018-09-01,90.9
1546,MARANHÃO,2018-09-01,88.5
1547,PIAUÍ,2018-09-01,86.5
1548,CEARÁ,2018-09-01,91.1
1549,RIO GRANDE DO NORTE,2018-09-01,89.9
1550,PARAÍBA,2018-09-01,89.3
1551,PERNAMBUCO,2018-09-01,87.9
1552,ALAGOAS,2018-09-01,89.6
1553,SERGIPE,2018-09-01,87.1
1554,BAHIA,2018-09-01,87.7
1555,MINAS GERAIS,2018-09-01,89.4
1556,ESPÍRITO SANTO,2018-09-01,90.6
1557,RIO DE JANEIRO,2018-09-01,90.7
1558,SÃO PAULO,2018-09-01,88.3
1559,PARANÁ,2018-09-01,88.7
1560,SANTA CATARINA,2018-09-01,89.3
1561,RIO GRANDE DO SUL,2018-09-01,89.3
1562,MATO GROSSO DO SUL,2018-09-01,91.0
1563,MATO GROSSO,2018-09-01,91.4
1564,GOIÁS,2018-09-01,92.8
1565,DISTRITO FEDERAL,2018-09-01,90.4
1566,RONDÔNIA,2018-10-01,92.9
1567,ACRE,2018-10-01,88.8
1568,AMAZONAS,2018-10-01,87.7
1569,RORAIMA,2018-10-01,87.2
1570,PARÁ,2018-10-01,89.9
1571,AMAPÁ,2018-10-01,90.0
1572,TOCANTINS,2018-10-01,90.8
1573,MARANHÃO,2018-10-01,88.4
1574,PIAUÍ,2018-10-01,86.3
1575,CEARÁ,2018-10-01,91.0
1576,RIO GRANDE DO NORTE,2018-10-01,89.8
1577,PARAÍBA,2018-10-01,89.1
1578,PERNAMBUCO,2018-10-01,87.7
1579,ALAGOAS,2018-10-01,89.4
1580,SERGIPE,2018-10-01,86.8
1581,BAHIA,2018-10-01,87.6
1582,MINAS GERAIS,2018-10-01,89.3
1583,ESPÍRITO SANTO,2018-10-01,90.5
1584,RIO DE JANEIRO,2018-10-01,90.5
1585,SÃO PAULO,2018-10-01,88.2
1586,PARANÁ,2018-10-01,88.6
1587,SANTA CATARINA,2018-10-01,89.2
1588,RIO GRANDE DO SUL,2018-10-01,89.1
1589,MATO GROSSO DO SUL,2018-10-01,90.9
1590,MATO GROSSO,2018-10-01,91.3
1591,GOIÁS,2018-10-01,92.7
1592,DISTRITO FEDERAL,2018-10-01,90.3
1593,RONDÔNIA,2018-11-01,92.8
1594,ACRE,2018-11-01,88.6
1595,AMAZONAS,2018-11-01,87.6
1596,RORAIMA,2018-11-01,86.9
1597,PARÁ,2018-11-01,89.8
1598,AMAPÁ,2018-11-01,89.9
1599,TOCANTINS,2018-11-01,90.8
1600,MARANHÃO,2018-11-01,88.3
1601,PIAUÍ,2018-11-01,86.2
1602,CEARÁ,2018-11-01,90.8
1603,RIO GRANDE DO NORTE,2018-11-01,89.7
1604,PARAÍBA,2018-11-01,88.9
1605,PERNAMBUCO,2018-11-01,87.5
1606,ALAGOAS,2018-11-01,89.3
1607,SERGIPE,2018-11-01,86.6
1608,BAHIA,2018-11-01,87.4
1609,MINAS GERAIS,2018-11-01,89.1
1610,ESPÍRITO SANTO,2018-11-01,90.4
1611,RIO DE JANEIRO,2018-11-01,90.2
1612,SÃO PAULO,2018-11-01,88.0
1613,PARANÁ,2018-11-01,88.4
1614,SANTA CATARINA,2018-11-01,89.0
1615,RIO GRANDE DO SUL,2018-11-01,88.9
1616,MATO GROSSO DO SUL,2018-11-01,90.7
1617,MATO GROSSO,2018-11-01,91.1
1618,GOIÁS,2018-11-01,92.6
1619,DISTRITO FEDERAL,2018-11-01,90.0
1620,RONDÔNIA,2018-12-01,92.7
1621,ACRE,2018-12-01,88.4
1622,AMAZONAS,2018-12-01,87.4
1623,RORAIMA,2018-12-01,86.4
1624,PARÁ,2018-12-01,89.6
1625,AMAPÁ,2018-12-01,89.7
1626,TOCANTINS,2018-12-01,90.7
1627,MARANHÃO,2018-12-01,88.1
1628,PIAUÍ,2018-12-01,86.0
1629,CEARÁ,2018-12-01,90.6
1630,RIO GRANDE DO NORTE,2018-12-01,89.5
1631,PARAÍBA,2018-12-01,88.7
1632,PERNAMBUCO,2018-12-01,87.3
1633,ALAGOAS,2018-12-01,89.1
1634,SERGIPE,2018-12-01,86.3
1635,BAHIA,2018-12-01,87.2
1636,MINAS GERAIS,2018-12-01,88.9
1637,ESPÍRITO SANTO,2018-12-01,90.1
1638,RIO DE JANEIRO,2018-12-01,89.8
1639,SÃO PAULO,2018-12-01,87.6
1640,PARANÁ,2018-12-01,88.1
1641,SANTA CATARINA,2018-12-01,88.6
1642,RIO GRANDE DO SUL,2018-12-01,88.6
1643,MATO GROSSO DO SUL,2018-12-01,90.5
1644,MATO GROSSO,2018-12-01,90.7
1645,GOIÁS,2018-12-01,92.4
1646,DISTRITO FEDERAL,2018-12-01,89.5
1647,RONDÔNIA,2019-01-01,93.0
1648,ACRE,2019-01-01,88.6
1649,AMAZONAS,2019-01-01,87.5
1650,RORAIMA,2019-01-01,86.3
1651,PARÁ,2019-01-01,89.7
1652,AMAPÁ,2019-01-01,89.9
1653,TOCANTINS,2019-01-01,90.9
1654,MARANHÃO,2019-01-01,88.3
1655,PIAUÍ,2019-01-01,86.0
1656,CEARÁ,2019-01-01,90.7
1657,RIO GRANDE DO NORTE,2019-01-01,89.6
1658,PARAÍBA,2019-01-01,88.8
1659,PERNAMBUCO,2019-01-01,87.3
1660,ALAGOAS,2019-01-01,89.2
1661,SERGIPE,2019-01-01,86.4
1662,BAHIA,2019-01-01,87.3
1663,MINAS GERAIS,2019-01-01,89.1
1664,ESPÍRITO SANTO,2019-01-01,90.4
1665,RIO DE JANEIRO,2019-01-01,90.0
1666,SÃO PAULO,2019-01-01,87.9
1667,PARANÁ,2019-01-01,88.2
1668,SANTA CATARINA,2019-01-01,88.8
1669,RIO GRANDE DO SUL,2019-01-01,88.8
1670,MATO GROSSO DO SUL,2019-01-01,90.8
1671,MATO GROSSO,2019-01-01,91.0
1672,GOIÁS,2019-01-01,92.5
1673,DISTRITO FEDERAL,2019-01-01,89.6
1674,RONDÔNIA,2019-02-01,92.9
1675,ACRE,2019-02-01,88.5
1676,AMAZONAS,2019-02-01,87.5
1677,RORAIMA,2019-02-01,86.3
1678,PARÁ,2019-02-01,89.6
1679,AMAPÁ,2019-02-01,89.7
1680,TOCANTINS,2019-02-01,90.9
1681,MARANHÃO,2019-02-01,88.2
1682,PIAUÍ,2019-02-01,85.9
1683,CEARÁ,2019-02-01,90.6
1684,RIO GRANDE DO NORTE,2019-02-01,89.5
1685,PARAÍBA,2019-02-01,88.7
1686,PERNAMBUCO,2019-02-01,87.2
1687,ALAGOAS,2019-02-01,89.1
1688,SERGIPE,2019-02-01,86.3
1689,BAHIA,2019-02-01,87.2
1690,MINAS GERAIS,2019-02-01,89.0
1691,ESPÍRITO SANTO,2019-02-01,90.3
1692,RIO DE JANEIRO,2019-02-01,89.9
1693,SÃO PAULO,2019-02-01,87.8
1694,PARANÁ,2019-02-01,88.1
1695,SANTA CATARINA,2019-02-01,88.7
1696,RIO GRANDE DO SUL,2019-02-01,88.7
1697,MATO GROSSO DO SUL,2019-02-01,90.7
1698,MATO GROSSO,2019-02-01,91.0
1699,GOIÁS,2019-02-01,92.4
1700,DISTRITO FEDERAL,2019-02-01,89.5
1701,RONDÔNIA,2019-03-01,92.8
1702,ACRE,2019-03-01,88.4
1703,AMAZONAS,2019-03-01,87.4
1704,RORAIMA,2019-03-01,86.0
1705,PARÁ,2019-03-01,89.4
1706,AMAPÁ,2019-03-01,89.6
1707,TOCANTINS,2019-03-01,90.8
1708,MARANHÃO,2019-03-01,88.2
1709,PIAUÍ,2019-03-01,85.8
1710,CEARÁ,2019-03-01,90.5
1711,RIO GRANDE DO NORTE,2019-03-01,89.4
1712,PARAÍBA,2019-03-01,88.5
1713,PERNAMBUCO,2019-03-01,87.1
1714,ALAGOAS,2019-03-01,89.0
1715,SERGIPE,2019-03-01,86.2
1716,BAHIA,2019-03-01,87.2
1717,MINAS GERAIS,2019-03-01,88.8
1718,ESPÍRITO SANTO,2019-03-01,90.2
1719,RIO DE JANEIRO,2019-03-01,89.7
1720,SÃO PAULO,2019-03-01,87.6
1721,PARANÁ,2019-03-01,88.0
1722,SANTA CATARINA,2019-03-01,88.6
1723,RIO GRANDE DO SUL,2019-03-01,88.5
1724,MATO GROSSO DO SUL,2019-03-01,90.7
1725,MATO GROSSO,2019-03-01,90.8
1726,GOIÁS,2019-03-01,92.3
1727,DISTRITO FEDERAL,2019-03-01,89.4
1728,RONDÔNIA,2019-04-01,92.9
1729,ACRE,2019-04-01,88.3
1730,AMAZONAS,2019-04-01,87.4
1731,RORAIMA,2019-04-01,85.9
1732,PARÁ,2019-04-01,89.4
1733,AMAPÁ,2019-04-01,89.6
1734,TOCANTINS,2019-04-01,90.8
1735,MARANHÃO,2019-04-01,88.2
1736,PIAUÍ,2019-04-01,85.8
1737,CEARÁ,2019-04-01,90.4
1738,RIO GRANDE DO NORTE,2019-04-01,89.4
1739,PARAÍBA,2019-04-01,88.5
1740,PERNAMBUCO,2019-04-01,87.0
1741,ALAGOAS,2019-04-01,89.0
1742,SERGIPE,2019-04-01,86.1
1743,BAHIA,2019-04-01,87.1
1744,MINAS GERAIS,2019-04-01,88.8
1745,ESPÍRITO SANTO,2019-04-01,90.1
1746,RIO DE JANEIRO,2019-04-01,89.6
1747,SÃO PAULO,2019-04-01,87.6
1748,PARANÁ,2019-04-01,87.9
1749,SANTA CATARINA,2019-04-01,88.5
1750,RIO GRANDE DO SUL,2019-04-01,88.5
1751,MATO GROSSO DO SUL,2019-04-01,90.7
1752,MATO GROSSO,2019-04-01,90.9
1753,GOIÁS,2019-04-01,92.3
1754,DISTRITO FEDERAL,2019-04-01,89.3
1755,RONDÔNIA,2019-05-01,92.8
1756,ACRE,2019-05-01,88.3
1757,AMAZONAS,2019-05-01,87.3
1758,RORAIMA,2019-05-01,85.6
1759,PARÁ,2019-05-01,89.2
1760,AMAPÁ,2019-05-01,89.5
1761,TOCANTINS,2019-05-01,90.8
1762,MARANHÃO,2019-05-01,88.1
1763,PIAUÍ,2019-05-01,85.7
1764,CEARÁ,2019-05-01,90.3
1765,RIO GRANDE DO NORTE,2019-05-01,89.2
1766,PARAÍBA,2019-05-01,88.3
1767,PERNAMBUCO,2019-05-01,86.9
1768,ALAGOAS,2019-05-01,88.8
1769,SERGIPE,2019-05-01,85.9
1770,BAHIA,2019-05-01,87.0
1771,MINAS GERAIS,2019-05-01,88.6
1772,ESPÍRITO SANTO,2019-05-01,89.9
1773,RIO DE JANEIRO,2019-05-01,89.4
1774,SÃO PAULO,2019-05-01,87.5
1775,PARANÁ,2019-05-01,87.8
1776,SANTA CATARINA,2019-05-01,88.4
1777,RIO GRANDE DO SUL,2019-05-01,88.4
1778,MATO GROSSO DO SUL,2019-05-01,90.6
1779,MATO GROSSO,2019-05-01,90.8
1780,GOIÁS,2019-05-01,92.2
1781,DISTRITO FEDERAL,2019-05-01,89.1
1782,RONDÔNIA,2019-06-01,92.9
1783,ACRE,2019-06-01,88.3
1784,AMAZONAS,2019-06-01,87.3
1785,RORAIMA,2019-06-01,85.6
1786,PARÁ,2019-06-01,89.3
1787,AMAPÁ,2019-06-01,89.5
1788,TOCANTINS,2019-06-01,90.8
1789,MARANHÃO,2019-06-01,88.1
1790,PIAUÍ,2019-06-01,85.6
1791,CEARÁ,2019-06-01,90.3
1792,RIO GRANDE DO NORTE,2019-06-01,89.2
1793,PARAÍBA,2019-06-01,88.3
1794,PERNAMBUCO,2019-06-01,86.8
1795,ALAGOAS,2019-06-01,88.8
1796,SERGIPE,2019-06-01,85.8
1797,BAHIA,2019-06-01,87.0
1798,MINAS GERAIS,2019-06-01,88.6
1799,ESPÍRITO SANTO,2019-06-01,89.9
1800,RIO DE JANEIRO,2019-06-01,89.4
1801,SÃO PAULO,2019-06-01,87.5
1802,PARANÁ,2019-06-01,87.8
1803,SANTA CATARINA,2019-06-01,88.3
1804,RIO GRANDE DO SUL,2019-06-01,88.3
1805,MATO GROSSO DO SUL,2019-06-01,90.7
1806,MATO GROSSO,2019-06-01,90.9
1807,GOIÁS,2019-06-01,92.2
1808,DISTRITO FEDERAL,2019-06-01,89.2
1809,RONDÔNIA,2019-07-01,93.0
1810,ACRE,2019-07-01,88.4
1811,AMAZONAS,2019-07-01,87.4
1812,RORAIMA,2019-07-01,86.0
1813,PARÁ,2019-07-01,89.4
1814,AMAPÁ,2019-07-01,89.7
1815,TOCANTINS,2019-07-01,91.0
1816,MARANHÃO,2019-07-01,88.3
1817,PIAUÍ,2019-07-01,85.8
1818,CEARÁ,2019-07-01,90.4
1819,RIO GRANDE DO NORTE,2019-07-01,89.3
1820,PARAÍBA,2019-07-01,88.5
1821,PERNAMBUCO,2019-07-01,87.0
1822,ALAGOAS,2019-07-01,89.0
1823,SERGIPE,2019-07-01,86.1
1824,BAHIA,2019-07-01,87.2
1825,MINAS GERAIS,2019-07-01,88.8
1826,ESPÍRITO SANTO,2019-07-01,90.1
1827,RIO DE JANEIRO,2019-07-01,89.7
1828,SÃO PAULO,2019-07-01,87.8
1829,PARANÁ,2019-07-01,88.0
1830,SANTA CATARINA,2019-07-01,88.6
1831,RIO GRANDE DO SUL,2019-07-01,88.6
1832,MATO GROSSO DO SUL,2019-07-01,91.0
1833,MATO GROSSO,2019-07-01,91.2
1834,GOIÁS,2019-07-01,92.4
1835,DISTRITO FEDERAL,2019-07-01,89.5
1836,RONDÔNIA,2019-08-01,93.0
1837,ACRE,2019-08-01,88.4
1838,AMAZONAS,2019-08-01,87.4
1839,RORAIMA,2019-08-01,86.1
1840,PARÁ,2019-08-01,89.5
1841,AMAPÁ,2019-08-01,89.8
1842,TOCANTINS,2019-08-01,91.0
1843,MARANHÃO,2019-08-01,88.3
1844,PIAUÍ,2019-08-01,85.8
1845,CEARÁ,2019-08-01,90.4
1846,RIO GRANDE DO NORTE,2019-08-01,89.4
1847,PARAÍBA,2019-08-01,88.5
1848,PERNAMBUCO,2019-08-01,87.0
