,"CO₂e (GWP SAR)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
10,Rio Grande do Norte,1334.6471083415372,1324.4963436596904,1343.5934222217777,1337.1246273690654,1329.4816728082103,1944.272596567213,1880.0891642856284,1880.335899091292,1881.3803551325366,1881.541304216965,1870.6310296673262,1674.7479324768117,1674.9998983476894,2360.033162853462,2359.198775548715,2522.390618349027,2533.4123639713994,2373.2456177496842,2373.7084107029314,1046.8501786758766,320.2224846406743,855.8284261206308,857.9623062925286,1195.3053898271019,738.3454204336879,848.4257990443551,931.5941195987646
11,Paraíba,1609.1579411358366,1602.4422316164944,1619.2457466717362,1607.9272810489952,1598.3845480723498,2272.3110898446753,2222.69250014504,2222.9849862601964,2224.2231127139535,2224.413906113838,2224.7149184373916,2073.2156866847413,2073.5243688257233,1768.2072572139127,1768.3291108093847,1884.8143065362776,1898.149284714394,1779.8980468023105,1779.637660044242,738.2311385307238,1468.10346976027,924.0369879642891,925.8599683622123,870.9199256491637,830.6875353747398,881.2929278631768,1125.9378414502303
12,Pernambuco,2736.021205968109,2732.338455785685,2770.974192411117,2757.884651001415,2742.3318342658354,4453.549019098703,4139.971239288831,4136.492992241785,4082.7679656883447,4080.53543511669,4072.947632612985,3108.351752196977,3106.421560729681,2758.585719921485,2758.7882621633503,2939.2638014666536,2988.3578846790306,2810.669710724493,2804.325703046716,872.6212569226907,287.4033838667376,1361.0926720333248,1559.9093257378763,1547.134576004364,1233.1848724526637,1420.0554824182211,1459.0136973508797
13,Alagoas,568.6885447580892,567.572637616926,575.6139602109467,570.851499324551,567.6304113058738,1135.0709516677,986.8086273991746,986.9411200803058,942.7291260558292,942.8155531639309,942.9420396279204,485.97736880308224,485.8648813680326,1945.9220264726007,1946.0675998366805,2071.5144237286004,2112.527084710112,1989.1977174445396,1958.3438633272065,810.5950830297614,289.06855775692645,185.98509603128662,854.3661915778238,246.54032423965688,222.58503033763452,171.34262392752402,229.58127403904518
14,Sergipe,514.2051993458309,513.5187375683533,520.7088298970219,517.3164373956896,514.4376871228367,872.8445261688902,798.8494674955554,798.9541257037781,799.3971556101185,799.4654258436029,799.5731349238076,571.805460745623,571.8944200865036,1283.349061245889,1283.4563633915573,1344.8522848494872,1408.8416581543754,1348.271228719645,1345.9314214167205,427.0127109583755,502.90764436262907,64.08595194994612,943.767909634835,213.090385679026,39.28018487248062,400.1941465291003,178.27005477110472
15,Bahia,17043.913339290117,16826.419329933633,16825.01064078457,16704.398247979203,16059.77541834844,19245.379583209608,20603.993071914483,19685.23616817409,17963.894391939903,17457.80325821983,14615.078573610474,34504.84106194421,34347.874693216785,54598.29865378148,54338.81423963484,41005.5776666237,46154.58906643341,47274.84431096441,47891.90543698758,23661.890212854323,6535.002366032283,22979.724342164012,25587.98028830605,26701.744177660432,18144.046882868726,20679.120613484003,14681.792660762972
16,Minas Gerais,20597.8290716942,20507.721424630647,20911.91788545532,20843.845231730123,20661.725257591122,34318.552765655804,28035.072536414402,34162.13091094884,29136.65800781118,33504.830111728494,34056.82226495344,20978.87286229147,20927.772804666056,63158.40072948763,68177.65000613694,27102.588939673296,31488.353145608038,20925.976968605755,20297.929545081883,-5046.98692528563,-5426.92984737953,16862.042225686622,20574.980565339152,29906.608102265916,27938.426354993855,9485.912603503843,-12398.072899151535
17,Espírito Santo,923.7331291722119,323.1159862294181,114.43282445095394,335.7883828087344,-527.189659114994,2042.857888653788,650.8709147407914,79.02510380777011,566.68045365235,139.4062985014194,-730.9327929594372,-3135.4512653805077,-3707.728867714674,-3559.4219525020226,-3689.776020681008,-3951.3183606275984,-3897.6185864128392,-3471.2780646773986,-3991.8451283869354,-3951.2546174628797,-3946.238995606368,315.6030853788754,-2090.525502917326,-2547.424175058517,-2864.30359110538,-933.230977622274,60.57076199487543
18,Rio de Janeiro,2731.7151681796586,2729.1855892197323,2721.3481005249428,2759.4796198866175,2733.963815088744,7858.884109025046,-145.9404422478769,-165.47987568488665,-164.70662443798906,-163.96434108080075,-163.70245846239672,-332.0011633825817,-374.9399207959962,-33.47874984657018,-44.11173732642435,-116.63206862439839,752.0059103532774,793.3999341972841,739.2926170260467,-186.76889642025222,-173.62845451554514,-127.70958198342582,171.30392770208027,-302.76880904669366,-164.80475067257422,-163.05319174865207,-234.6680039042056
19,São Paulo,1857.6627072815659,969.0132893941174,1371.4051028829301,1649.7100618652066,1843.0528573650902,11549.03832740267,5424.099715181404,1104.2168938674654,1225.9292398814507,-823.381795390886,110.21686688126994,-9426.65431167819,-10424.3884062081,10913.239625550628,7365.343380891385,7761.123279519012,4626.633608165662,-14581.944680126553,-13078.279783387921,-13074.001414011052,-14811.089140694097,-6976.878222160034,-5580.714949285571,-4206.627446108259,-3108.0177466814393,-7784.844159981565,-1790.1413932700393
