cod;nome;período;valor
29;BA;2007;50.67
28;SE;2007;49.46
27;AL;2007;121.77
26;PE;2007;109.33
25;PB;2007;43.17
24;RN;2007;34.76
23;CE;2007;44.55
22;PI;2007;20.18
21;MA;2007;32.37
17;TO;2007;23.52
16;AP;2007;60.9
15;PA;2007;58.37
13;AM;2007;42.65
12;AC;2007;35.52
11;RO;2007;44.36
53;DF;2007;59.65
52;GO;2007;51.63
51;MT;2007;44.07
50;MS;2007;51.86
43;RS;2007;41.72
42;SC;2007;19.94
41;PR;2007;63.76
35;SP;2007;28.73
33;RJ;2007;93.99
32;ES;2007;101.9
14;RR;2007;37.29
25;PB;2008;52.55
26;PE;2008;106.23
24;RN;2008;44.19
27;AL;2008;126.08
28;SE;2008;52.3
29;BA;2008;70.52
31;MG;2008;41.32
32;ES;2008;112.11
33;RJ;2008;79.7
35;SP;2008;27.05
41;PR;2008;69.08
42;SC;2008;24.33
43;RS;2008;43.95
50;MS;2008;52.08
51;MT;2008;50.79
52;GO;2008;58.54
53;DF;2008;67.29
23;CE;2008;46.87
22;PI;2008;20.42
21;MA;2008;36.94
17;TO;2008;30.21
16;AP;2008;73.44
15;PA;2008;74.57
14;RR;2008;29.33
13;AM;2008;46.52
12;AC;2008;36.86
11;RO;2008;43.84
23;CE;2009;49.29
25;PB;2009;66.73
26;PE;2009;92.63
27;AL;2009;123.24
28;SE;2009;53.88
29;BA;2009;81.3
31;MG;2009;38.76
32;ES;2009;117
33;RJ;2009;73.33
35;SP;2009;27.03
41;PR;2009;74.8
42;SC;2009;25.38
43;RS;2009;39.67
50;MS;2009;52.98
51;MT;2009;55.23
53;DF;2009;70.57
52;GO;2009;58.44
11;RO;2009;47.76
12;AC;2009;37.23
13;AM;2009;51.32
14;RR;2009;39.14
15;PA;2009;77.4
16;AP;2009;54.91
17;TO;2009;33.15
21;MA;2009;40.07
22;PI;2009;22.64
24;RN;2009;49.8
24;RN;2010;47.98
26;PE;2010;80.59
27;AL;2010;142.68
29;BA;2010;85.61
31;MG;2010;36.93
32;ES;2010;104.05
33;RJ;2010;78.03
35;SP;2010;24.63
41;PR;2010;70.82
42;SC;2010;22.23
43;RS;2010;36.2
50;MS;2010;43.41
51;MT;2010;54.08
52;GO;2010;64.62
53;DF;2010;60.05
11;RO;2010;46.38
12;AC;2010;34.8
13;AM;2010;59.29
14;RR;2010;38.26
15;PA;2010;86.38
16;AP;2010;83.5
17;TO;2010;43.43
21;MA;2010;43.41
22;PI;2010;21.87
23;CE;2010;61.41
25;PB;2010;78.9
28;SE;2010;58.18
25;PB;2011;87.35
12;AC;2011;33.85
53;DF;2011;64.48
52;GO;2011;70.89
51;MT;2011;55.26
50;MS;2011;45.43
43;RS;2011;37.7
42;SC;2011;22.56
41;PR;2011;64.21
35;SP;2011;23.18
11;RO;2011;38.19
32;ES;2011;100.98
27;AL;2011;147.09
28;SE;2011;61.39
29;BA;2011;78.25
33;RJ;2011;62.29
26;PE;2011;79
31;MG;2011;42.75
24;RN;2011;65.21
23;CE;2011;64.44
22;PI;2011;25.47
21;MA;2011;42.77
17;TO;2011;38.87
16;AP;2011;59.34
15;PA;2011;77.87
14;RR;2011;28.11
13;AM;2011;72.86
11;RO;2012;46.86
28;SE;2012;78.41
31;MG;2012;48.12
32;ES;2012;97.53
33;RJ;2012;62.04
35;SP;2012;26.73
41;PR;2012;67.35
42;SC;2012;23.46
43;RS;2012;42.91
50;MS;2012;42.97
51;MT;2012;63.3
53;DF;2012;66.69
52;GO;2012;89.14
29;BA;2012;90.39
27;AL;2012;137.81
26;PE;2012;74.84
25;PB;2012;87
24;RN;2012;71.23
23;CE;2012;95.88
22;PI;2012;31.33
21;MA;2012;50.03
17;TO;2012;44.09
16;AP;2012;78.12
15;PA;2012;79.22
14;RR;2012;49.51
13;AM;2012;66.51
12;AC;2012;46.22
21;MA;2013;62.04
17;TO;2013;36.04
16;AP;2013;68.6
15;PA;2013;78.26
14;RR;2013;54.23
13;AM;2013;59.13
41;PR;2013;55.57
35;SP;2013;23.84
33;RJ;2013;69.76
32;ES;2013;99.35
31;MG;2013;50.17
29;BA;2013;83.82
28;SE;2013;86.03
27;AL;2013;147.78
26;PE;2013;70.94
25;PB;2013;87.32
24;RN;2013;97.33
23;CE;2013;111.7
53;DF;2013;59.24
11;RO;2013;43.19
12;AC;2013;53.77
52;GO;2013;93.42
51;MT;2013;62.96
50;MS;2013;39.14
43;RS;2013;40.66
42;SC;2013;21.2
22;PI;2013;39.05
41;PR;2014;53.46
53;DF;2014;57.04
52;GO;2014;91.28
51;MT;2014;74.15
50;MS;2014;47.65
43;RS;2014;50.43
21;MA;2014;69.91
22;PI;2014;47.26
25;PB;2014;86.01
26;PE;2014;78.51
29;BA;2014;90.7
31;MG;2014;50.2
11;RO;2014;46.72
12;AC;2014;49.5
13;AM;2014;60.11
14;RR;2014;38.3
15;PA;2014;79.52
16;AP;2014;74.01
17;TO;2014;45.4
23;CE;2014;117.31
24;RN;2014;110.91
27;AL;2014;140.49
28;SE;2014;103.02
32;ES;2014;96.76
33;RJ;2014;78.43
35;SP;2014;25.81
42;SC;2014;23.06
16;AP;2015;73.73
17;TO;2015;58.59
21;MA;2015;67.28
22;PI;2015;39.97
23;CE;2015;101.87
24;RN;2015;104.27
11;RO;2015;53.42
12;AC;2015;46.18
50;MS;2015;39.21
13;AM;2015;70.92
25;PB;2015;82.85
26;PE;2015;89.78
27;AL;2015;118.91
28;SE;2015;118.18
29;BA;2015;92.17
31;MG;2015;46.8
43;RS;2015;53.57
42;SC;2015;25.35
41;PR;2015;53.66
35;SP;2015;21.95
33;RJ;2015;71.49
32;ES;2015;83.82
14;RR;2015;51.85
51;MT;2015;61.91
52;GO;2015;93.82
53;DF;2015;47.58
15;PA;2015;84.23
26;PE;2016;105.39
25;PB;2016;70.47
27;AL;2016;122.39
28;SE;2016;142.74
29;BA;2016;114.27
31;MG;2016;49.78
32;ES;2016;71.55
33;RJ;2016;87.72
35;SP;2016;19.02
41;PR;2016;57.55
42;SC;2016;27.24
43;RS;2016;62.34
50;MS;2016;40.61
51;MT;2016;60.28
52;GO;2016;96.43
53;DF;2016;50.43
11;RO;2016;53.26
12;AC;2016;83.92
13;AM;2016;67.68
14;RR;2016;60.73
15;PA;2016;97.99
16;AP;2016;101.42
17;TO;2016;67.43
21;MA;2016;65.09
22;PI;2016;45.16
23;CE;2016;87.66
24;RN;2016;125.57
50;MS;2017;40.64
43;RS;2017;63.97
42;SC;2017;30.25
41;PR;2017;49.9
35;SP;2017;18.48
33;RJ;2017;92.64
32;ES;2017;85.98
31;MG;2017;44.21
29;BA;2017;119.8
28;SE;2017;125.5
27;AL;2017;128.65
26;PE;2017;133.04
24;RN;2017;152.31
23;CE;2017;140.25
22;PI;2017;38.89
21;MA;2017;59.85
17;TO;2017;72.38
16;AP;2017;100.22
15;PA;2017;105.3
14;RR;2017;64.76
25;PB;2017;71.97
13;AM;2017;80.51
53;DF;2017;39.67
52;GO;2017;91.57
51;MT;2017;53.99
12;AC;2017;126.29
11;RO;2017;46.45
41;PR;2018;42.49
11;RO;2018;37.47
12;AC;2018;98.24
13;AM;2018;72.35
14;RR;2018;142.46
15;PA;2018;103.19
16;AP;2018;115.68
17;TO;2018;70.4
21;MA;2018;52.57
22;PI;2018;38.88
23;CE;2018;118.44
24;RN;2018;119.33
25;PB;2018;66.58
29;BA;2018;110.67
31;MG;2018;32.64
32;ES;2018;62.77
33;RJ;2018;96.51
35;SP;2018;13.84
42;SC;2018;22.59
43;RS;2018;50.76
50;MS;2018;35.22
51;MT;2018;49.48
52;GO;2018;82
53;DF;2018;32.77
28;SE;2018;108.17
27;AL;2018;95.61
26;PE;2018;95.42
43;RS;2019;39.49
50;MS;2019;28.09
51;MT;2019;42.57
52;GO;2019;67.26
53;DF;2019;29.3
11;RO;2019;31.4
12;AC;2019;71.6
31;MG;2019;27.27
32;ES;2019;57.91
33;RJ;2019;52.27
35;SP;2019;12.51
41;PR;2019;35.49
13;AM;2019;76.28
14;RR;2019;61.96
15;PA;2019;75.98
16;AP;2019;101.8
17;TO;2019;53.07
21;MA;2019;43.12
22;PI;2019;30.72
23;CE;2019;54.46
24;RN;2019;85.27
25;PB;2019;45.26
42;SC;2019;19.49
26;PE;2019;79.24
27;AL;2019;70.32
28;SE;2019;90.54
29;BA;2019;96.96
24;RN;2020;92.2
52;GO;2020;70.5
51;MT;2020;50.7
50;MS;2020;26.77
43;RS;2020;37.48
42;SC;2020;19.46
41;PR;2020;40.24
35;SP;2020;12.47
33;RJ;2020;67.62
32;ES;2020;72.42
31;MG;2020;26.31
29;BA;2020;115.8
28;SE;2020;94.38
27;AL;2020;84.62
26;PE;2020;86.94
25;PB;2020;53.17
53;DF;2020;29.32
23;CE;2020;99.8
22;PI;2020;39.62
21;MA;2020;52.13
17;TO;2020;58.75
16;AP;2020;98.31
14;RR;2020;57.49
15;PA;2020;60.74
13;AM;2020;62.3
12;AC;2020;63.93
11;RO;2020;30.41
53;DF;2021;21.44
25;PB;2021;57.35
26;PE;2021;74.24
27;AL;2021;74.48
28;SE;2021;70.68
29;BA;2021;121.2
31;MG;2021;23.71
32;ES;2021;63.71
33;RJ;2021;71.35
35;SP;2021;10.54
41;PR;2021;43.76
42;SC;2021;18.33
43;RS;2021;32.35
50;MS;2021;32.91
51;MT;2021;44
52;GO;2021;53.7
24;RN;2021;69.8
23;CE;2021;84.88
22;PI;2021;46.23
21;MA;2021;50.04
17;TO;2021;54.95
16;AP;2021;128.19
15;PA;2021;60.82
14;RR;2021;71.71
13;AM;2021;92.73
12;AC;2021;37.89
11;RO;2021;43.37
