,Unidade Territorial,Referência,TAC
245,AMAZONAS,2016-01-01,77.79
246,RORAIMA,2016-01-01,81.78
247,PARÁ,2016-01-01,78.29
248,AMAPÁ,2016-01-01,83.44
249,TOCANTINS,2016-01-01,77.21
250,MARANHÃO,2016-01-01,74.62
251,PIAUÍ,2016-01-01,75.37
252,CEARÁ,2016-01-01,78.77
253,RIO GRANDE DO NORTE,2016-01-01,75.89
254,PARAÍBA,2016-01-01,77.01
255,PERNAMBUCO,2016-01-01,78.29
256,ALAGOAS,2016-01-01,73.4
257,SERGIPE,2016-01-01,76.39
258,BAHIA,2016-01-01,77.96
259,MINAS GERAIS,2016-01-01,72.01
260,ESPÍRITO SANTO,2016-01-01,68.84
261,RIO DE JANEIRO,2016-01-01,68.64
262,SÃO PAULO,2016-01-01,67.18
263,PARANÁ,2016-01-01,70.4
264,SANTA CATARINA,2016-01-01,63.46
265,RIO GRANDE DO SUL,2016-01-01,67.25
266,MATO GROSSO DO SUL,2016-01-01,68.56
267,MATO GROSSO,2016-01-01,69.65
268,GOIÁS,2016-01-01,70.62
269,DISTRITO FEDERAL,2016-01-01,51.19
270,RONDÔNIA,2016-02-01,67.86
271,ACRE,2016-02-01,79.97
272,AMAZONAS,2016-02-01,77.05
273,RORAIMA,2016-02-01,83.68
274,PARÁ,2016-02-01,77.65
275,AMAPÁ,2016-02-01,83.31
276,TOCANTINS,2016-02-01,77.67
277,MARANHÃO,2016-02-01,73.81
278,PIAUÍ,2016-02-01,74.78
279,CEARÁ,2016-02-01,78.23
280,RIO GRANDE DO NORTE,2016-02-01,75.72
281,PARAÍBA,2016-02-01,76.58
282,PERNAMBUCO,2016-02-01,77.95
283,ALAGOAS,2016-02-01,73.13
284,SERGIPE,2016-02-01,76.04
285,BAHIA,2016-02-01,77.72
286,MINAS GERAIS,2016-02-01,72.58
287,ESPÍRITO SANTO,2016-02-01,69.15
288,RIO DE JANEIRO,2016-02-01,69.01
289,SÃO PAULO,2016-02-01,68.43
290,PARANÁ,2016-02-01,72.67
291,SANTA CATARINA,2016-02-01,65.68
292,RIO GRANDE DO SUL,2016-02-01,68.42
293,MATO GROSSO DO SUL,2016-02-01,70.05
294,MATO GROSSO,2016-02-01,70.89
295,GOIÁS,2016-02-01,70.79
296,DISTRITO FEDERAL,2016-02-01,51.99
297,RONDÔNIA,2016-03-01,66.96
298,ACRE,2016-03-01,79.32
299,AMAZONAS,2016-03-01,76.16
300,RORAIMA,2016-03-01,83.86
