"Código","Unidade Territorial","Referência","Quantidade total de famílias com cadastro atualizado","Média geral de atualização de todo o cadastro","Quantidade de famílias em situação de pobreza, segundo a faixa do Programa Bolsa Família*, com cadastro atualizado","Quantidade de famílias de baixa renda** com cadastro atualizado","Quantidade de famílias com renda per capita mensal até meio salário mínimo (Pobreza + Baixa renda) com cadastro atualizado","Quantidade de famílias com renda per capita mensal maior que meio salário-mínimo*** com cadastro atualizado","Quantidade de famílias com renda zero com cadastro atualizado","TAC - Taxa de atualização cadastral das famílias com renda per capita mensal até meio salário mínimo (Pobreza + Baixa renda)"
"24","RIO GRANDE DO NORTE","08/2015","457739","73,31","313887","95369","409256","48483","40378","74,47"
"25","PARAÍBA","08/2015","602451","76,36","477506","81331","558837","43614","100192","77,75"
"26","PERNAMBUCO","08/2015","1365603","75,51","1026992","230712","1257704","107899","113931","76,33"
"27","ALAGOAS","08/2015","458736","70,07","350847","73924","424771","33965","30699","71,14"
"28","SERGIPE","08/2015","329100","75,21","246134","55146","301280","27820","11886","76,40"
"29","BAHIA","08/2015","2248881","75,19","1659293","361760","2021053","227828","199813","76,83"
"31","MINAS GERAIS","08/2015","1773704","69,07","938785","518788","1457573","316131","134045","70,39"
"32","ESPÍRITO SANTO","08/2015","302065","67,34","158082","88961","247043","55022","21276","67,64"
"33","RIO DE JANEIRO","08/2015","1021225","65,49","676227","218382","894609","126616","115521","66,17"
"35","SÃO PAULO","08/2015","2294088","66,11","1203143","648617","1851760","442328","195832","65,92"
"41","PARANÁ","08/2015","823967","68,10","326224","300307","626531","197436","45448","69,13"
"42","SANTA CATARINA","08/2015","273896","60,39","103646","85265","188911","84985","18031","60,51"
"43","RIO GRANDE DO SUL","08/2015","722284","66,40","356834","196708","553542","168742","66271","67,03"
"50","MATO GROSSO DO SUL","08/2015","290167","69,27","125774","84783","210557","79610","19559","70,73"
"51","MATO GROSSO","08/2015","325609","68,05","156974","92506","249480","76129","18563","68,70"
"52","GOIÁS","08/2015","544130","66,89","294057","149821","443878","100252","21433","69,17"
"53","DISTRITO FEDERAL","08/2015","109472","47,64","68629","28352","96981","12491","5990","47,93"
"11","RONDÔNIA","09/2015","157140","65,35","87953","40644","128597","28543","5018","66,36"
"12","ACRE","09/2015","98382","79,75","79578","14003","93581","4801","18280","80,61"
"13","AMAZONAS","09/2015","429764","75,59","337634","63556","401190","28574","32800","77,07"
"14","RORAIMA","09/2015","71217","79,02","47647","14348","61995","9222","4750","79,50"
"15","PARÁ","09/2015","1055716","77,52","827260","145571","972831","82885","63745","78,46"
"16","AMAPÁ","09/2015","75728","81,96","60158","10316","70474","5254","7710","83,05"
"17","TOCANTINS","09/2015","206019","73,30","121077","51053","172130","33889","10682","74,70"
"21","MARANHÃO","09/2015","1051999","73,03","854206","116151","970357","81642","86562","74,52"
"22","PIAUÍ","09/2015","515507","73,24","405480","67780","473260","42247","56824","74,45"
"23","CEARÁ","09/2015","1368441","77,06","944034","296595","1240629","127812","67904","78,32"
"24","RIO GRANDE DO NORTE","09/2015","461597","73,66","315689","97277","412966","48631","40256","75,05"
"25","PARAÍBA","09/2015","602922","76,14","477326","81833","559159","43763","100790","77,64"
